category,series,value,scenario,measure
2025,conventional,111,baseline,level
2026,conventional,237.60561019794872,baseline,level
2027,conventional,229.70368372305643,baseline,level
2028,conventional,238.36734751760162,baseline,level
2029,conventional,246.28262058248623,baseline,level
2030,conventional,254.67714501220115,baseline,level
2031,conventional,264.625621304687,baseline,level
2032,conventional,275.160261923383,baseline,level
2033,conventional,285.8571289455293,baseline,level
2034,conventional,296.81942140974576,baseline,level
2035,conventional,307.6232013932721,baseline,level
2026-35,conventional,2636.7220420099115,baseline,level
2025-34,conventional,2440.0988406166393,baseline,level
2025,dynamic,102.682,baseline,level
2026,dynamic,193.48161019794873,baseline,level
2027,dynamic,171.93068372305643,baseline,level
2028,dynamic,187.16234751760163,baseline,level
2029,dynamic,203.90162058248623,baseline,level
2030,dynamic,216.96814501220115,baseline,level
2031,dynamic,227.59862130468701,baseline,level
2032,dynamic,236.34626192338303,baseline,level
2033,dynamic,244.68812894552934,baseline,level
2034,dynamic,253.23642140974576,baseline,level
2035,dynamic,261.4122013932721,baseline,level
2026-35,dynamic,2196.7260420099115,baseline,level
2025-34,dynamic,2037.9958406166393,baseline,level
2025,difference,-8.318,baseline,level
2026,difference,-44.124,baseline,level
2027,difference,-57.773,baseline,level
2028,difference,-51.205,baseline,level
2029,difference,-42.381,baseline,level
2030,difference,-37.709,baseline,level
2031,difference,-37.027,baseline,level
2032,difference,-38.814,baseline,level
2033,difference,-41.169,baseline,level
2034,difference,-43.583,baseline,level
2035,difference,-46.211,baseline,level
2026-35,difference,-439.996,baseline,level
2025-34,difference,-402.10300000000007,baseline,level
2026,conventional,113.47247525918442,ieepa_invalidation,level
2027,conventional,113.44881776004136,ieepa_invalidation,level
2028,conventional,117.72827528246013,ieepa_invalidation,level
2029,conventional,121.63798845961465,ieepa_invalidation,level
2030,conventional,125.7849008094012,ieepa_invalidation,level
2031,conventional,130.6986994015964,ieepa_invalidation,level
2032,conventional,135.9025177871757,ieepa_invalidation,level
2033,conventional,141.1860607246351,ieepa_invalidation,level
2034,conventional,146.60116159322257,ieepa_invalidation,level
2035,conventional,151.93752515143393,ieepa_invalidation,level
2026-35,conventional,1298.3984222287654,ieepa_invalidation,level
2026,dynamic,92.82947525918442,ieepa_invalidation,level
2027,dynamic,90.62181776004137,ieepa_invalidation,level
2028,dynamic,89.93327528246013,ieepa_invalidation,level
2029,dynamic,95.35698845961466,ieepa_invalidation,level
2030,dynamic,102.01090080940119,ieepa_invalidation,level
2031,dynamic,109.6046994015964,ieepa_invalidation,level
2032,dynamic,114.6245177871757,ieepa_invalidation,level
2033,dynamic,118.6100607246351,ieepa_invalidation,level
2034,dynamic,122.68816159322257,ieepa_invalidation,level
2035,dynamic,126.56752515143393,ieepa_invalidation,level
2026-35,dynamic,1062.8474222287655,ieepa_invalidation,level
2026,difference,-20.643,ieepa_invalidation,level
2027,difference,-22.827,ieepa_invalidation,level
2028,difference,-27.795,ieepa_invalidation,level
2029,difference,-26.281,ieepa_invalidation,level
2030,difference,-23.774,ieepa_invalidation,level
2031,difference,-21.094,ieepa_invalidation,level
2032,difference,-21.278,ieepa_invalidation,level
2033,difference,-22.576,ieepa_invalidation,level
2034,difference,-23.913,ieepa_invalidation,level
2035,difference,-25.37,ieepa_invalidation,level
2026-35,difference,-235.551,ieepa_invalidation,level
2026,conventional,-124.1331349387643,ieepa_invalidation,delta_vs_default
2027,conventional,-116.25486596301506,ieepa_invalidation,delta_vs_default
2028,conventional,-120.63907223514148,ieepa_invalidation,delta_vs_default
2029,conventional,-124.64463212287158,ieepa_invalidation,delta_vs_default
2030,conventional,-128.89224420279996,ieepa_invalidation,delta_vs_default
2031,conventional,-133.9269219030906,ieepa_invalidation,delta_vs_default
2032,conventional,-139.25774413620732,ieepa_invalidation,delta_vs_default
2033,conventional,-144.67106822089423,ieepa_invalidation,delta_vs_default
2034,conventional,-150.2182598165232,ieepa_invalidation,delta_vs_default
2035,conventional,-155.68567624183817,ieepa_invalidation,delta_vs_default
2026-35,conventional,-1338.3236197811461,ieepa_invalidation,delta_vs_default
2026,dynamic,-100.6521349387643,ieepa_invalidation,delta_vs_default
2027,dynamic,-81.30886596301507,ieepa_invalidation,delta_vs_default
2028,dynamic,-97.2290722351415,ieepa_invalidation,delta_vs_default
2029,dynamic,-108.54463212287158,ieepa_invalidation,delta_vs_default
2030,dynamic,-114.95724420279996,ieepa_invalidation,delta_vs_default
2031,dynamic,-117.99392190309061,ieepa_invalidation,delta_vs_default
2032,dynamic,-121.72174413620732,ieepa_invalidation,delta_vs_default
2033,dynamic,-126.07806822089424,ieepa_invalidation,delta_vs_default
2034,dynamic,-130.54825981652317,ieepa_invalidation,delta_vs_default
2035,dynamic,-134.84467624183816,ieepa_invalidation,delta_vs_default
2026-35,dynamic,-1133.878619781146,ieepa_invalidation,delta_vs_default
2026,difference,23.480999999999995,ieepa_invalidation,delta_vs_default
2027,difference,34.946,ieepa_invalidation,delta_vs_default
2028,difference,23.409999999999982,ieepa_invalidation,delta_vs_default
2029,difference,16.10000000000001,ieepa_invalidation,delta_vs_default
2030,difference,13.935000000000002,ieepa_invalidation,delta_vs_default
2031,difference,15.932999999999993,ieepa_invalidation,delta_vs_default
2032,difference,17.536,ieepa_invalidation,delta_vs_default
2033,difference,18.59299999999999,ieepa_invalidation,delta_vs_default
2034,difference,19.670000000000016,ieepa_invalidation,delta_vs_default
2035,difference,20.841000000000008,ieepa_invalidation,delta_vs_default
2026-35,difference,204.44500000000016,ieepa_invalidation,delta_vs_default
