category,value,substitution,basis
1,-3.495680148295199,postsub,% of after-tax income
2,-2.1112788764946657,postsub,% of after-tax income
3,-2.0287511722744664,postsub,% of after-tax income
4,-1.8010501720072758,postsub,% of after-tax income
5,-1.818303372333029,postsub,% of after-tax income
6,-1.8024550716578058,postsub,% of after-tax income
7,-1.7131552642167578,postsub,% of after-tax income
8,-1.6473661222580875,postsub,% of after-tax income
9,-1.4980072905770965,postsub,% of after-tax income
10,-1.0474415355365707,postsub,% of after-tax income
1,-1314.4106925604779,postsub,2025 dollars
2,-1277.3870586455675,postsub,2025 dollars
3,-1498.496478377089,postsub,2025 dollars
4,-1550.3619985655832,postsub,2025 dollars
5,-1835.6499865050862,postsub,2025 dollars
6,-2097.8233842503705,postsub,2025 dollars
7,-2343.5964014485244,postsub,2025 dollars
8,-2700.115442687118,postsub,2025 dollars
9,-3111.301222237006,postsub,2025 dollars
10,-5238.6950446633155,postsub,2025 dollars
