category,value,substitution,basis
1,-3.3236029013364488,postsub,% of after-tax income
2,-1.7479089374729015,postsub,% of after-tax income
3,-1.9993079214570255,postsub,% of after-tax income
4,-1.8446817931186958,postsub,% of after-tax income
5,-1.9611407705095734,postsub,% of after-tax income
6,-1.9875364419947963,postsub,% of after-tax income
7,-1.9460816193133155,postsub,% of after-tax income
8,-1.8551020287820914,postsub,% of after-tax income
9,-1.6563947690137837,postsub,% of after-tax income
10,-0.972172809101064,postsub,% of after-tax income
1,-1249.7079269315182,postsub,2025 dollars
2,-1057.5373444392296,postsub,2025 dollars
3,-1476.7488100258029,postsub,2025 dollars
4,-1587.9205343345047,postsub,2025 dollars
5,-1979.8500534602347,postsub,2025 dollars
6,-2313.2340387444838,postsub,2025 dollars
7,-2662.2396552206155,postsub,2025 dollars
8,-3040.604980275287,postsub,2025 dollars
9,-3440.265679450868,postsub,2025 dollars
10,-4862.244530894243,postsub,2025 dollars
