category,value,substitution,basis
1,-2.106196032930829,postsub,% of after-tax income
2,-1.299923753957452,postsub,% of after-tax income
3,-1.254583705209877,postsub,% of after-tax income
4,-1.114013486642663,postsub,% of after-tax income
5,-1.141329861027274,postsub,% of after-tax income
6,-1.124924203649101,postsub,% of after-tax income
7,-1.071926244561987,postsub,% of after-tax income
8,-1.03323031942761,postsub,% of after-tax income
9,-0.947678874581236,postsub,% of after-tax income
10,-0.6665481100668523,postsub,% of after-tax income
1,-813.3334411415636,postsub,2025 dollars
2,-807.7281763160131,postsub,2025 dollars
3,-951.6933375580089,postsub,2025 dollars
4,-984.8457060716665,postsub,2025 dollars
5,-1183.328037894814,postsub,2025 dollars
6,-1344.615702289409,postsub,2025 dollars
7,-1505.987770329939,postsub,2025 dollars
8,-1739.241091244385,postsub,2025 dollars
9,-2021.4349754647,postsub,2025 dollars
10,-3423.696598964121,postsub,2025 dollars
