category,item,column,value
Panel A. Broad Tariffs under IEEPA Authority,Canada,reciprocal,0% reciprocal (exempt)
Panel A. Broad Tariffs under IEEPA Authority,Canada,fentanyl,"0% on USMCA-duty-free; 10% energy/potash; 35% other non-USMCA; USMCA goods duty-free"
Panel A. Broad Tariffs under IEEPA Authority,Mexico,reciprocal,0% reciprocal (exempt)
Panel A. Broad Tariffs under IEEPA Authority,Mexico,fentanyl,"0% on USMCA-duty-free; 10% potash; 25% other non-USMCA; USMCA goods duty-free"
Panel A. Broad Tariffs under IEEPA Authority,China,reciprocal,10% reciprocal baseline; higher China rate delayed
Panel A. Broad Tariffs under IEEPA Authority,China,fentanyl,10%; stacks regardless of other tariffs
Panel A. Broad Tariffs under IEEPA Authority,European Union,reciprocal,"Formula reciprocal rate, typically 0-15%"
Panel A. Broad Tariffs under IEEPA Authority,European Union,fentanyl,None
Panel A. Broad Tariffs under IEEPA Authority,United Kingdom,reciprocal,10% reciprocal
Panel A. Broad Tariffs under IEEPA Authority,United Kingdom,fentanyl,None
Panel A. Broad Tariffs under IEEPA Authority,"Trade-deal partners (Japan, Korea, Vietnam, etc.)",reciprocal,Reciprocal rates mostly in 15-25% range
Panel A. Broad Tariffs under IEEPA Authority,"Trade-deal partners (Japan, Korea, Vietnam, etc.)",fentanyl,None
Panel A. Broad Tariffs under IEEPA Authority,Other,reciprocal,Mostly 10% reciprocal; some countries 15-40%
Panel A. Broad Tariffs under IEEPA Authority,Other,fentanyl,None
Panel B. Product-Specific Tariffs under Section 232 Authority,Steel,rate,"50%; 25% UK; USMCA goods duty-free"
Panel B. Product-Specific Tariffs under Section 232 Authority,Aluminum,rate,"50%; 25% UK; USMCA goods duty-free"
Panel B. Product-Specific Tariffs under Section 232 Authority,Copper,rate,"50% on semi-finished/derivative copper; USMCA goods duty-free"
Panel B. Product-Specific Tariffs under Section 232 Authority,Automobiles,rate,"25% headline; often 0-15% for EU/Japan via formula; USMCA goods duty-free"
Panel B. Product-Specific Tariffs under Section 232 Authority,Auto parts,rate,"25% most; 10% for some UK parts; 0-15% EU/Japan formula; USMCA import adjustment can reduce rates"
Panel B. Product-Specific Tariffs under Section 232 Authority,Medium/heavy trucks & buses,rate,"25% on trucks/parts; 10% buses; some USMCA relief"
Panel B. Product-Specific Tariffs under Section 232 Authority,Lumber / wood products,rate,"10% softwood; 25-30% upholstered furniture; 25-50% cabinets/vanities; USMCA goods duty-free"
