category,value,country_code,substitution,metric
China,6.4438543313230285,chn,presub,rate
China,6.4438543313230285,chn,postsub,rate
China,13.62,chn,presub,import_share
China,13.13607600900157,chn,postsub,import_share
Canada,6.356726395024992,ca,presub,rate
Canada,6.356726395024992,ca,postsub,rate
Canada,12.629999999999999,ca,presub,import_share
Canada,13.571720852327655,ca,postsub,import_share
Mexico,8.701153257735031,mx,presub,rate
Mexico,8.701153257735031,mx,postsub,rate
Mexico,15.481,mx,presub,import_share
Mexico,16.800831690843403,mx,postsub,import_share
Rest of World,6.23223499560832,row,presub,rate
Rest of World,6.23223499560832,row,postsub,rate
Rest of World,58.269000000000005,row,presub,import_share
Rest of World,56.49137144782736,row,postsub,import_share
Total,6.658994049038825,total,presub,rate
Total,6.691727899415939,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
