category,series,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",19.44971258165824,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",18.32423296128586,pct,etr_postsub_level
Consumer price increase,Pre-substitution,2.1781762983981854,pct,price_presub
Household cost,Pre-substitution,-3579.212381423481,usd,hh_cost_presub
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.8423771170494199,pp,gdp_growth_2025
Real GDP,Long-run,-0.53,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2025",0.44148969650268555,pp,unemployment_2025
Labor market,"Change in payroll employment, 2025 Q4 (thousands)",-589.7674560546875,thousands,payroll_employment_2025
Revenue (10-year),Conventional,2805.6056525184867,usd_b,revenue_conventional
Revenue (10-year),"Add'l 2026-35 Dynamic Revenue Effects ($bn)",-549.424,usd_b,revenue_dynamic
