category,value,substitution,basis
1,-1.111839312403772,postsub,% of after-tax income
2,-0.686216434833087,postsub,% of after-tax income
3,-0.6622818875090616,postsub,% of after-tax income
4,-0.5880763089624461,postsub,% of after-tax income
5,-0.6024963432034594,postsub,% of after-tax income
6,-0.5938359647136676,postsub,% of after-tax income
7,-0.565858884959973,postsub,% of after-tax income
8,-0.545431702436813,postsub,% of after-tax income
9,-0.5002699709902011,postsub,% of after-tax income
10,-0.351863919974016,postsub,% of after-tax income
1,-429.3503927530799,postsub,2025 dollars
2,-426.3914308653734,postsub,2025 dollars
3,-502.3891648762302,postsub,2025 dollars
4,-519.8899606409482,postsub,2025 dollars
5,-624.666750592196,postsub,2025 dollars
6,-709.8088565860813,postsub,2025 dollars
7,-794.9955184001246,postsub,2025 dollars
8,-918.1275573397929,postsub,2025 dollars
9,-1067.094818359399,postsub,2025 dollars
10,-1807.334366295627,postsub,2025 dollars
