category,value,substitution,basis
1,-2.743518503510241,postsub,% of after-tax income
2,-1.6618677128768105,postsub,% of after-tax income
3,-1.5952587298952075,postsub,% of after-tax income
4,-1.4165870859504353,postsub,% of after-tax income
5,-1.4298680252650564,postsub,% of after-tax income
6,-1.4179496144567596,postsub,% of after-tax income
7,-1.3476246027937024,postsub,% of after-tax income
8,-1.2965992708326235,postsub,% of after-tax income
9,-1.1798869521574504,postsub,% of after-tax income
10,-0.8268992153971356,postsub,% of after-tax income
1,-1031.5903925048856,postsub,2025 dollars
2,-1005.4798223218567,postsub,2025 dollars
3,-1178.3059556624971,postsub,2025 dollars
4,-1219.4123294569943,postsub,2025 dollars
5,-1443.508966226085,postsub,2025 dollars
6,-1650.3090177777888,postsub,2025 dollars
7,-1843.5504566217849,postsub,2025 dollars
8,-2125.1910348582114,postsub,2025 dollars
9,-2450.5780041529383,postsub,2025 dollars
10,-4135.670273871542,postsub,2025 dollars
